lemma,es,nl,en,zh
reporter,2.877283964732887e-05,4.1142025175047214e-05,7.551871920252233e-05,0.0006781096842080688
movement,0.0004903965614527247,0.00023660698007532056,0.0002230894173960368,0.0004940742111872089
thirsty,1.4805848973042408e-05,5.646944631869226e-06,3.715033767220856e-05,1.1539737887861096e-05
million,0.000981715867034081,0.00036624469469551834,0.00046913427673328696,6.770424252126597e-05
insect,3.208632992741485e-05,2.5411250843411517e-05,2.0800441269181088e-05,1.5208440684579942e-05
blade,1.7280480954372442e-05,1.8554246647570314e-06,4.057023004304239e-05,1.0872701015730397e-05
festive,4.370451736518467e-05,6.203572031296335e-05,1.911391900411235e-05,1.4741514874088453e-05
soon,0.0008037520789530076,4.299744983980425e-05,0.0014330285990607663,0.00029082807624898486
monolith,3.1457186203347894e-06,4.0335318799065897e-07,1.639674424372383e-06,3.468591735079636e-06
cast,0.00010414425779055042,2.686332232017789e-05,0.00024379616298382517,4.202332294423405e-06
helium,4.781492302908879e-06,2.742801678336481e-06,4.216305662671842e-06,3.3351843606534963e-07
incident,5.800705135897351e-05,6.106767266178577e-05,7.926654645823063e-05,0.0008327955348551779
window,0.0004402328351871193,0.00042787706182049106,0.0003778746830567897,0.00019877698789494836
placenta,4.02651983402853e-06,2.1781072151495585e-06,6.137067131222347e-06,4.535850730488755e-06
arrogance,1.2876474885903736e-05,1.581144496923383e-05,1.4241743571691556e-05,3.201776986227356e-05
castle,0.0001014179683195936,6.873138323360829e-05,7.050600024801247e-05,4.822676585504955e-05
relativity,1.19537307572722e-05,3.3881667791215356e-06,3.4667402115301813e-06,1.2540293196057145e-05
theology,2.7514552199194957e-05,2.242643725228064e-05,2.009772365873578e-05,1.5475255433432222e-05
devil,0.00011332975616192801,4.3723485578187436e-05,0.00011444927482119233,6.063365167668055e-05
behavior,0.0002998498988903121,0.00021498724919902123,0.00013684254267404944,0.000588593335968129
designation,4.580166311207453e-05,2.8396064434542392e-05,5.340653839384333e-06,1.8210106609168088e-05
serenade,6.4592089004207674e-06,3.2268255039252717e-06,6.137067131222347e-06,8.67147933769909e-07
mercy,8.526994606854169e-05,5.187121997559874e-05,6.507165072723543e-05,4.662587736193587e-05
doll,0.0001074577480706364,6.760199430723444e-05,9.275872457878053e-05,9.718727226944288e-05
bunker,1.371533318465968e-05,1.3229984566093615e-05,7.870437236987438e-06,1.1739848949500305e-05
found,0.00011748210474076993,0.00010955072585826297,5.818501814487142e-05,6.69705019619222e-05
precaution,3.3638217780113345e-05,1.0003159062168343e-05,7.870437236987438e-06,2.8215659691128577e-05
urine,2.0468142489645027e-05,8.95444077339263e-06,1.48039176600478e-05,9.752079070550822e-05
documentary,0.00013077800877605162,7.00221134351784e-05,7.748632851176919e-05,9.758749439272129e-05
church,0.0005042796662971356,0.0004409457051113884,0.0005413736470870645,0.00026734837834998425
cobra,6.547289021790141e-05,7.986393122215048e-06,8.573154847432745e-06,3.7354064839319156e-06
kingdom,0.00019604118441926406,5.187121997559874e-05,8.844872323471598e-05,2.9282918686537696e-05
party,0.001722301916090766,0.0008792292791820384,0.0012218853810422997,0.0009975536422714606
indifference,4.03071412552231e-05,7.341028021429993e-06,8.338915643950976e-06,7.010557526093648e-05
reincarnation,1.1240701203329647e-05,4.92090889348604e-06,4.4973927068499645e-06,0.00010479149261173284
nail,4.131377121373023e-05,4.235208473901919e-05,0.0001696360311614971,7.630901817175199e-05
clothe,2.3068603215788453e-05,0.00012907302015701088,0.0002725607371713864,0.0007470812967863831
infect,3.13313574585345e-05,2.9928806548906898e-05,2.4079790117925853e-05,8.231235002092828e-05
perjury,7.130295539425523e-07,1.5327421143645042e-06,5.0127189545098565e-06,2.668147488522797e-06
minimum,0.00034879728062272143,0.00014165763962231944,6.0949040745956294e-05,6.0100022178976e-05
airline,2.743066636931936e-05,1.0648524162953397e-05,5.378132111941416e-05,9.42523100320678e-05
read,0.0016564934825533623,0.002112118633594287,0.002484762622693909,0.0013463472227086032
inauguration,5.725207889009316e-05,2.3394484903458223e-06,4.263153503368196e-06,9.471923584255928e-06
blink,1.7699910103750413e-05,1.629546879482262e-05,3.6916098468726795e-05,2.9082807624898487e-05
slave,9.034503877601514e-05,3.670514010714997e-05,6.240132380754327e-05,7.224009325175472e-05
fondue,1.4680020228229017e-06,4.03353187990659e-06,4.68478406963538e-06,9.745408701829515e-05
elbow,4.0642684574725474e-05,1.661815134521515e-05,3.907109914075907e-05,5.869924474750153e-06
construction,0.0002294696876246884,0.00015988920371949722,9.496057309150916e-05,0.0002668147488522797
queen,0.0002193195022097415,0.00012455546445151549,0.00018317505712274335,9.945519763468725e-05
who,0.0034891891507604104,0.0034180149150328442,0.006997943051858545,0.0029615770085730914
perfect,0.0006070398078947387,0.000372133651240182,0.0007994584014832776,0.0003147079962712639
optic,2.38655185996066e-05,1.5085409230850645e-05,4.450544866153611e-06,1.0272367830812768e-05
tribe,4.6640521410830474e-05,4.202940218862667e-05,5.214164669504178e-05,0.00016802658808972313
respect,0.0005802802281644241,0.0003000141012274522,0.000306010095428583,0.0003458586181997675
profitability,2.9653640861022614e-05,1.7747540271588995e-06,3.70097941501195e-06,2.748191913178481e-05
immortality,1.2540931566401359e-05,3.2268255039252717e-06,5.855980087044225e-06,3.0817103492438306e-05
eastern,4.185902910792159e-05,8.55108758540197e-06,7.294208796422287e-05,3.0150066620307603e-05
aunt,0.00015011369256237613,0.0001524675050604691,8.680904881034359e-05,6.9638649450445e-05
pessimistic,2.805981009338632e-05,6.695662920644939e-06,4.965871113813503e-06,5.423009770422585e-05
pajama,6.207551410793985e-05,2.5411250843411517e-05,2.6937508400403434e-05,3.1284029302929794e-05
two,0.003768235363841575,0.0026909304583608825,0.0027027456254540435,0.008871790510399939
rectangle,6.543094730296362e-06,5.404932719074831e-06,1.5038156863529572e-05,3.6019991095057757e-06
zoo,2.2481402406659295e-05,0.00011600437686611352,5.72949091716407e-05,4.175650819538177e-05
zodiac,6.7108663900475506e-06,1.0487182887757133e-06,5.949675768436933e-06,3.268480673440426e-06
idiot,0.00016630365772836585,6.82473594080195e-05,0.00011805655855481157,9.278482891338026e-05
cherry,3.028278458508957e-05,4.098068389985095e-05,8.624687472198735e-05,2.8749289188833137e-05
rewrite,5.7881222614160125e-06,1.7828210909187128e-05,2.365815955165867e-05,1.5008329622940734e-05
