lemma,classification
spoon,en
calcium,es
republicans,en
hit,en
privacy,zh
pajama,es
generous,es
sneak,zh
bury,zh
selfish,zh
auditorium,es
hemisphere,es
rubber,es
fanatic,es
armament,es
angle,zh
knee,nl
pine,zh
isolation,zh
voluntary,zh
coconut,en
cuisine,zh
bitter,zh
shrine,es
merchandise,zh
acre,es
heating,nl
praise,en
conditioning,es
operator,es
bang,nl
dispute,zh
midnight,zh
lakes,en
chord,es
vulnerable,nl
mutual,zh
swap,nl
tumor,es
reign,zh
horizontal,zh
clan,zh
tiger,zh
tactic,zh
handkerchief,es
cigarette,en
archbishop,es
farmer,nl
aggressive,es
goalkeeper,es
optic,es
fierce,zh
accounting,zh
cafe,nl
vitamin,nl
dilemma,zh
attribute,es
subsidy,es
monopoly,zh
microwave,zh
marathon,en
mature,zh
honest,nl
accuracy,en
diameter,zh
correction,zh
victory,zh
riot,zh
automatic,zh
similarity,zh
ride,en
guerrilla,es
fascist,es
tragic,zh
filming,zh
remote,es
micro,zh
laser,es
soap,en
hydrogen,es
brake,es
combine,en
spider,en
awarded,es
spine,es
dramatic,en
renaissance,zh
female,zh
statute,zh
availability,es
pavilion,zh
monastery,nl
greenhouse,nl
hurricane,es
necktie,es
prostitution,zh
urine,zh
appetite,zh
firework,zh
cereal,en
cinnamon,en
vitality,zh
vegetation,es
rhetoric,zh
partially,zh
obey,es
hormone,zh
discount,nl
ballet,en
panda,zh
atheist,es
supervision,zh
multimedia,es
legion,es
icon,en
cardboard,nl
autism,en
ark,zh
needle,nl
subconscious,zh
journal,en
thick,nl
elephant,zh
convene,es
remorse,es
sow,nl
lamp,nl
donation,zh
